[2024.06.13 00:00:00 - info ] Trading session ???????0900[FD0900] state reset
[2024.06.13 00:00:00 - info ] Trading session ???????0915[FD0915] state reset
[2024.06.13 00:00:00 - info ] Trading session ???????0930[SD0930] state reset
[2024.06.13 00:00:00 - info ] 681000 ticks received from exchange INE
[2024.06.13 00:00:01 - info ] 2840400 ticks received from exchange SHFE
[2024.06.13 00:00:03 - info ] 2840600 ticks received from exchange SHFE
[2024.06.13 00:00:05 - info ] 2840800 ticks received from exchange SHFE
[2024.06.13 00:00:07 - info ] 2841000 ticks received from exchange SHFE
[2024.06.13 00:00:09 - info ] 2841200 ticks received from exchange SHFE
[2024.06.13 00:00:12 - info ] 2841400 ticks received from exchange SHFE
[2024.06.13 00:00:14 - info ] 681200 ticks received from exchange INE
[2024.06.13 00:00:15 - info ] 2841600 ticks received from exchange SHFE
[2024.06.13 00:00:18 - info ] 2841800 ticks received from exchange SHFE
[2024.06.13 00:00:20 - info ] 2842000 ticks received from exchange SHFE
[2024.06.13 00:00:24 - info ] 2842200 ticks received from exchange SHFE
[2024.06.13 00:00:27 - info ] 2842400 ticks received from exchange SHFE
[2024.06.13 00:00:28 - info ] 681400 ticks received from exchange INE
[2024.06.13 00:00:29 - info ] 2842600 ticks received from exchange SHFE
[2024.06.13 00:00:32 - info ] 2842800 ticks received from exchange SHFE
[2024.06.13 00:00:36 - info ] 2843000 ticks received from exchange SHFE
[2024.06.13 00:00:38 - info ] 2843200 ticks received from exchange SHFE
[2024.06.13 00:00:41 - info ] 2843400 ticks received from exchange SHFE
[2024.06.13 00:00:44 - info ] 681600 ticks received from exchange INE
[2024.06.13 00:00:44 - info ] 2843600 ticks received from exchange SHFE
[2024.06.13 00:00:46 - info ] 2843800 ticks received from exchange SHFE
[2024.06.13 00:00:50 - info ] 2844000 ticks received from exchange SHFE
[2024.06.13 00:00:53 - info ] 2844200 ticks received from exchange SHFE
[2024.06.13 00:00:55 - info ] 2844400 ticks received from exchange SHFE
[2024.06.13 00:00:58 - info ] 2844600 ticks received from exchange SHFE
[2024.06.13 00:01:00 - info ] 681800 ticks received from exchange INE
[2024.06.13 00:01:01 - info ] 2844800 ticks received from exchange SHFE
[2024.06.13 00:01:03 - info ] 2845000 ticks received from exchange SHFE
[2024.06.13 00:01:05 - info ] 2845200 ticks received from exchange SHFE
[2024.06.13 00:01:07 - info ] 2845400 ticks received from exchange SHFE
[2024.06.13 00:01:09 - info ] tick cache of SHFE.ss2505 mapping expired, automatically closed
[2024.06.13 00:01:09 - info ] min1 cache of SHFE.ss2505 mapping expired, automatically closed
[2024.06.13 00:01:09 - info ] min5 cache of SHFE.ss2505 mapping expired, automatically closed
[2024.06.13 00:01:10 - info ] 2845600 ticks received from exchange SHFE
[2024.06.13 00:01:13 - info ] 2845800 ticks received from exchange SHFE
[2024.06.13 00:01:13 - info ] 682000 ticks received from exchange INE
[2024.06.13 00:01:16 - info ] 2846000 ticks received from exchange SHFE
[2024.06.13 00:01:19 - info ] 2846200 ticks received from exchange SHFE
[2024.06.13 00:01:22 - info ] 2846400 ticks received from exchange SHFE
[2024.06.13 00:01:25 - info ] 2846600 ticks received from exchange SHFE
[2024.06.13 00:01:28 - info ] 2846800 ticks received from exchange SHFE
